ŽžŠÔ,”òs‹@,ŠŠ‘–˜H
7:00.0,D10,34R
7:00.0,D8,34L
7:03.9,D81,34R
7:00.2,D2,34R
7:00.3,D4,34L
7:05.0,D6,34R
7:05.8,D82,34L
7:10.0,D1,34L
7:10.1,D81,34R
7:11.2,D82,34R
7:15.0,D81,34R
7:15.0,D12,34R
7:20.0,D82,34L
7:25.0,D81,34R
7:25.0,D3,34L
7:35.0,D7,34R
7:40.0,D5,34L
7:40.0,D82,34R
7:45.0,D82,34R
7:50.0,D81,34L
7:55.0,D81,16L
7:57.4,D1,16R
8:00.0,D11,16L
8:00.0,D6,16R
8:00.5,D4,16R
8:5.1,’…—¤,16L
8:10.0,’…—¤,16R
8:15.0,D1,16L
8:15.0,’…—¤,16R
8:16.0,’…—¤,16R
8:17.0,’…—¤,16R
8:18.0,’…—¤,16R
8:20.0,’…—¤,16R
8:20.0,’…—¤,16L
8:25.0,D8,16L
8:30.0,’…—¤,16R
8:35.0,’…—¤,16L
8:35.0,’…—¤,16R
8:40.0,’…—¤,16L
8:50.0,D81,16R
8:50.0,’…—¤,16L
8:55.0,D5,16L
8:55.0,D4,16R
8:55.0,D11,16L
8:56.6,D2,16L
9:00.0,D9,16R
9:00.0,D11,16L
9:01.9,D6,16L
9:5.2,’…—¤,16R
9:6.1,’…—¤,16L
9:6.2,’…—¤,16R
9:05.0,D3,16L
9:7.2,’…—¤,16R
9:10.0,D7,16R
9:10.0,D12,16L
9:10.0,I54,16R
9:15.0,I57,16L
9:16.8,’…—¤,16R
9:17.8,’…—¤,16R
9:18.8,’…—¤,16R
9:19.8,’…—¤,16R
9:20.8,’…—¤,16R
9:21.8,’…—¤,16R
9:22.8,’…—¤,16R
9:25.0,D12,16L
9:25.0,’…—¤,16R
9:35.0,D82,16R
9:35.0,’…—¤,16L
9:36.0,’…—¤,16L
9:40.0,D10,16L
9:40.0,D6,16R
9:44.8,’…—¤,16L
9:50.0,D3,16R
9:50.0,D82,16L
9:55.0,D1,16R
9:57.5,’…—¤,16L
9:58.5,’…—¤,16L
10:00.0,D11,16L
10:00.0,D4,16R
10:02.1,D8,16L
10:01.6,D6,16R
10:6.1,’…—¤,16L
10:6.4,’…—¤,16R
10:05.0,D5,16L
10:05.0,D81,16R
10:10.0,D9,16L
10:10.0,D81,16R
10:10.3,D12,16L
10:15.0,D2,16L
10:30.0,I55,16R
10:35.0,D6,16L
10:45.0,’…—¤,16R
10:45.0,’…—¤,16L
10:50.0,’…—¤,16L
10:50.0,’…—¤,16R
10:55.0,D1,16L
10:55.0,I53,16R
10:59.6,’…—¤,16L
11:0.6,’…—¤,16L
11:1.6,’…—¤,16R
11:00.0,D7,16L
11:2.6,’…—¤,16R
11:3.6,’…—¤,16R
11:5.0,’…—¤,16L
11:5.0,’…—¤,16R
11:10.0,D10,16L
11:10.0,’…—¤,16R
11:11.0,’…—¤,16R
11:15.0,D3,16R
11:15.0,’…—¤,16L
11:16.0,’…—¤,16L
11:20.0,’…—¤,16L
11:25.0,D4,16R
11:25.0,’…—¤,16L
11:26.0,’…—¤,16L
11:30.0,D81,16L
11:30.4,’…—¤,16R
11:31.4,’…—¤,16R
11:32.4,’…—¤,16R
11:35.0,D1,16R
11:40.0,D6,16L
11:40.0,D5,16R
11:40.2,D11,16L
11:45.0,D8,16R
11:45.0,I54,16L
11:50.0,D11,16R
11:52.4,’…—¤,16L
11:55.0,D2,16L
11:55.0,D6,16R
11:59.5,’…—¤,16L
11:59.9,’…—¤,16R
12:00.0,D82,16L
12:00.0,D7,16R
12:5.1,’…—¤,16R
12:6.1,’…—¤,16R
12:7.1,’…—¤,16R
12:05.0,D9,16L
12:05.0,I55,16R
12:10.0,D3,16L
12:12.0,’…—¤,16R
12:13.0,’…—¤,16R
12:14.0,’…—¤,16R
12:15.0,’…—¤,16L
12:20.0,I53,16R
12:20.0,’…—¤,16L
12:25.0,D10,16L
12:25.0,D1,16R
12:25.0,D82,16L
12:30.2,’…—¤,16R
12:30.0,D5,16R
12:30.0,D81,16L
12:35.0,D12,16R
12:35.0,D4,16L
12:40.0,I56,16L
12:41.0,’…—¤,16R
12:50.0,D81,16R
12:50.0,D11,16L
12:51.9,D6,16L
12:56.1,’…—¤,16L
12:57.1,’…—¤,16L
12:55.0,D11,16R
13:00.0,D8,16L
13:00.0,D81,16R
13:5.0,’…—¤,16L
13:10.0,’…—¤,16L
13:10.0,’…—¤,16R
13:15.0,D6,16L
13:15.0,’…—¤,16R
13:16.0,’…—¤,16R
13:20.0,D9,16R
