ŽžŠÔ,”òs‹@,ŠŠ‘–˜H
7:00,D10,I
7:00,D8,AN
7:04,D81,I
7:01,D2,I
7:01,D4,AN
7:05,D6,I
7:05,D6,AN
7:10,D82,I
7:10,D12,AN
7:11,D82,I
7:15,D81,I
7:15,D12,AN
7:20,D82,I
7:25,D81,AN
7:25,D3,I
7:35,D7,AN
7:40,D5,I
7:40,D82,AN
7:45,D82,AN
7:50,D81,I
7:55,D81,AN
7:55,D1,I
8:00,D11,X
8:02,D6,X
8:03,D4,X
8:08,’…—¤,X
8:10,’…—¤,S
8:15,D1,X
8:15,’…—¤,S
8:16,’…—¤,S
8:17,’…—¤,S
8:18,’…—¤,S
8:20,’…—¤,S
8:21,’…—¤,X
8:25,D8,S
8:30,’…—¤,X
8:35,’…—¤,S
8:35,’…—¤,X
8:40,’…—¤,S
8:50,D81,X
8:50,’…—¤,S
8:55,D5,S
8:55,D4,X
8:56,D11,S
8:56,D2,X
9:00,D9,S
9:00,D11,X
9:02,D6,S
9:06,’…—¤,S
9:06,’…—¤,X
9:07,’…—¤,S
9:05,D3,X
9:08,’…—¤,S
9:10,D7,S
9:10,D12,X
9:10,I54,S
9:15,I57,X
9:19,’…—¤,S
9:20,’…—¤,S
9:21,’…—¤,S
9:22,’…—¤,S
9:23,’…—¤,S
9:24,’…—¤,S
9:24,’…—¤,X
9:25,D12,S
9:25,’…—¤,X
9:35,D82,X
9:35,’…—¤,S
9:36,’…—¤,S
9:40,D10,S
9:40,D6,X
9:45,’…—¤,X
9:50,D3,S
9:50,D82,X
9:55,D1,S
9:59,’…—¤,X
10:00,’…—¤,X
10:00,D11,S
10:00,D4,X
10:02,D8,X
10:02,D6,S
10:07,’…—¤,X
10:07,’…—¤,S
10:05,D5,X
10:05,D81,S
10:10,D9,X
10:10,D81,S
10:11,D12,X
10:15,D2,X
10:30,I55,S
10:35,D6,X
10:45,’…—¤,S
10:45,’…—¤,X
10:50,’…—¤,S
10:50,’…—¤,X
10:55,D1,S
10:55,I53,X
11:00,’…—¤,S
11:01,’…—¤,S
11:02,’…—¤,S
11:00,D7,X
11:03,’…—¤,S
11:04,’…—¤,S
11:05,’…—¤,S
11:05,’…—¤,X
11:10,D10,S
11:10,’…—¤,X
11:11,’…—¤,X
11:15,D3,X
11:16,’…—¤,S
11:17,’…—¤,S
11:20,’…—¤,S
11:25,D4,X
11:25,’…—¤,S
11:26,’…—¤,S
11:30,D81,S
11:31,’…—¤,X
11:32,’…—¤,X
11:33,’…—¤,X
11:35,D1,X
11:40,D6,S
11:40,D5,X
11:41,D11,S
11:45,D8,X
11:45,I54,S
11:50,D11,X
11:54,’…—¤,S
11:55,D2,S
11:55,D6,X
12:00,’…—¤,S
