定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00,東京,,D10,I,7:11,0
7:00,7:00,東京,,D8,AN,7:12,0
7:00,7:04,大阪,,D81,I,7:12,4
7:00,7:01,東京,,D2,I,7:13,1
7:00,7:01,東京,,D4,AN,7:13,1
7:05,7:05,大阪,,D6,I,7:17,0
7:05,7:05,奄美大島,,D6,AN,7:17,0
7:10,7:10,沖縄/那覇,,D82,I,7:18,0
7:10,7:10,宮崎,,D12,AN,7:21,0
7:10,7:11,宮崎,,D82,I,7:19,1
7:15,7:15,出雲,,D81,I,7:23,0
7:15,7:15,沖縄/那覇,,D12,AN,7:26,0
7:20,7:20,新潟,,D82,I,7:28,0
7:25,7:25,小松,,D81,AN,7:34,0
7:25,7:25,成田,,D3,I,7:37,0
7:35,7:35,東京,,D7,AN,7:47,0
7:40,7:40,名古屋/中部,,D5,I,7:52,0
7:40,7:40,対馬,,D82,AN,7:49,0
7:45,7:45,福江,,D82,AN,7:54,0
7:50,7:50,松山,,D81,I,7:58,0
7:55,7:55,仙台,,D81,AN,8:04,0
7:55,7:55,成田,,D1,I,8:08,0
8:00,8:00,東京,,D11,X,8:05,0
8:00,8:02,沖縄/那覇,,D6,X,8:06,2
8:00,8:03,沖縄/那覇,,D4,X,8:07,3
8:05,,ハノイ,,着陸,X,8:08,3
8:10,,バンコク/スワンナプーム,,着陸,S,8:10,0
8:15,8:15,信州松本,,D1,X,8:20,0
8:15,,大阪,,着陸,S,8:15,0
8:15,,関西,,着陸,S,8:16,1
8:15,,東京,,着陸,S,8:17,2
8:15,,東京,,着陸,S,8:18,3
8:20,,ハノイ,,着陸,S,8:20,0
8:20,,天草,,着陸,X,8:21,1
8:25,8:25,東京,,D8,S,8:29,0
8:30,,宮崎,,着陸,X,8:30,0
8:35,,名古屋/小牧,,着陸,S,8:35,0
8:35,,東京,,着陸,X,8:35,0
8:40,,沖縄/那覇,,着陸,S,8:40,0
8:50,8:50,天草,,D81,X,8:58,0
8:50,,東京,,着陸,S,8:50,0
8:55,8:55,名古屋/中部,,D5,S,8:59,0
8:55,8:55,沖縄/那覇,,D4,X,9:00,0
8:55,8:56,仙台,,D11,S,9:00,1
8:55,8:56,東京,,D2,X,9:01,1
9:00,9:00,東京,,D9,S,9:04,0
9:00,9:00,大阪,,D11,X,9:05,0
9:00,9:02,高知,,D6,S,9:05,2
9:00,,沖縄/那覇,,着陸,S,9:06,6
9:00,,東京,,着陸,X,9:06,6
9:00,,名古屋/中部,,着陸,S,9:07,7
9:05,9:05,名古屋/小牧,,D3,X,9:10,0
9:05,,宮崎,,着陸,S,9:08,3
9:10,9:10,東京,,D7,S,9:14,0
9:10,9:10,東京,,D12,X,9:16,0
9:10,9:10,バンコク/スワンナプーム,,I54,S,9:18,0
9:15,9:15,ハノイ,,I57,X,9:23,0
9:15,,大阪,,着陸,S,9:19,4
9:15,,成田,,着陸,S,9:20,5
9:15,,宮崎,,着陸,S,9:21,6
9:15,,成田,,着陸,S,9:22,7
9:20,,東京,,着陸,S,9:23,3
9:20,,静岡,,着陸,S,9:24,4
9:20,,対馬,,着陸,X,9:24,4
9:25,9:25,沖縄/那覇,,D12,S,9:30,0
9:25,,名古屋/中部,,着陸,X,9:25,0
9:35,9:35,福江,,D82,X,9:43,0
9:35,,福江,,着陸,S,9:35,0
9:35,,東京,,着陸,S,9:36,1
9:40,9:40,東京,,D10,S,9:45,0
9:40,9:40,沖縄/那覇,,D6,X,9:44,0
9:40,,仙台,,着陸,X,9:45,5
9:50,9:50,静岡,,D3,S,9:54,0
9:50,9:50,宮崎,,D82,X,9:58,0
9:55,9:55,名古屋/中部,,D1,S,9:59,0
9:55,,名古屋/小牧,,着陸,X,9:59,4
9:55,,東京,,着陸,X,10:00,5
