Time,arrived
8:05,ハノイ
8:15,大阪
8:10,バンコク/スワンナプーム
8:15,関西
8:15,東京
8:15,東京
8:20,ハノイ
8:20,天草
8:30,宮崎
8:35,名古屋/小牧
8:35,東京
8:40,沖縄/那覇
8:50,東京
9:00,沖縄/那覇
9:00,東京
9:00,名古屋/中部
9:05,宮崎
9:15,大阪
9:15,成田
9:15,宮崎
9:15,成田
9:20,東京
9:20,静岡
9:20,対馬
9:25,名古屋/中部
9:35,福江
9:35,東京
9:40,仙台
9:55,名古屋/小牧
9:55,東京
10:00,松山
10:00,台北/桃園
10:45,成田
10:45,静岡
10:50,プサン
10:50,東京
10:55,小松
10:55,成田
10:55,名古屋/中部
11:00,ソウル/仁川
11:00,東京
11:05,ソウル/仁川
11:05,大阪
11:10,関西
11:10,東京
11:15,新潟
11:15,東京
11:20,台北/桃園
11:25,沖縄/那覇
11:25,高知
11:30,東京
11:30,沖縄/那覇
11:30,東京
11:50,宮崎
11:55,名古屋/小牧
11:55,茨城
12:00,札幌/新千歳
12:00,大阪
12:00,東京
12:10,出雲
12:10,沖縄/那覇
12:10,東京
12:15,宮崎
12:20,仙台
12:25,東京
12:40,徳島
12:50,東京
12:50,沖縄/那覇
13:05,沖縄/那覇
13:10,東京
13:10,札幌/新千歳
13:15,香港
13:15,沖縄/那覇
13:20,仙台
13:25,東京
13:25,福江
13:35,名古屋/中部
13:40,札幌/新千歳
13:40,東京
13:45,台北/桃園
13:50,屋久島
13:55,東京
13:55,対馬
14:00,松山
14:05,新潟
14:05,東京
14:05,プサン
14:15,沖縄/那覇
14:20,大阪
14:25,東京
14:25,成田
14:30,マニラ
14:30,東京
14:55,マニラ
14:55,東京
15:00,小松
15:00,宮崎
15:00,沖縄/那覇
15:05,名古屋/中部
15:10,東京
15:15,名古屋/中部
15:20,松山
15:35,東京
15:40,東京
15:45,対馬
15:50,東京
15:55,沖縄/那覇
16:00,信州松本
16:00,名古屋/中部
16:05,沖縄/那覇
16:10,東京
16:10,いわて花巻
16:15,成田
16:20,大阪
16:20,沖縄/那覇
16:25,天草
16:35,沖縄/那覇
16:40,宮崎
16:45,ソウル/仁川
16:45,札幌/新千歳
16:50,東京
16:50,鹿児島
16:55,仙台
17:00,ソウル/仁川
17:00,札幌/新千歳
17:00,東京
17:00,東京
17:05,宮崎
17:10,石垣
17:15,関西
17:35,対馬
17:40,成田
17:45,東京
17:45,宮崎
17:50,沖縄/那覇
17:50,東京
17:55,東京
17:55,小松
18:00,台北/桃園
18:00,名古屋/小松
18:00,東京
18:00,沖縄/那覇
18:05,台北/桃園
18:10,静岡
18:15,名古屋/中部
18:20,東京
18:20,仙台
18:25,大阪
18:30,仙台
18:40,天草
18:40,成田
18:50,松山
18:55,東京
19:00,福江
19:00,成田
19:00,東京
19:10,信州松本
19:20,高雄
19:20,東京
19:25,名古屋/中部
19:35,沖縄/那覇
19:35,札幌/新千歳
19:35,静岡
19:40,高知
19:40,成田
19:50,対馬
19:55,東京
20:00,台北/桃園
20:00,奄美大島
20:00,名古屋/中部
20:05,沖縄/那覇
20:20,出雲
20:25,名古屋/中部
20:25,沖縄/那覇
20:25,東京
20:30,東京
20:30,高崎
20:35,東京
20:50,沖縄/那覇
20:55,東京
20:55,成田
20:55,仙台
21:00,東京
21:00,沖縄/那覇
21:10,徳島
21:10,小松
21:15,大阪
21:20,新潟
21:25,東京
21:25,成田
21:25,沖縄/那覇
21:30,大阪
21:30,名古屋/中部
21:30,沖縄/那覇
21:30,名古屋/小牧
21:30,宮崎
21:35,宮崎
21:35,東京
21:45,東京
21:55,東京
21:55,東京
