定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00.0,大阪,,D81,34R,7:7.1,0
7:00,7:00.0,東京,,D10,34L,7:10.4,0
7:00,7:00.0,東京,,D8,34R,7:10.7,0
7:00,7:00.0,東京,,D4,34L,7:11.9,0
7:00,7:00.0,東京,,D2,34R,7:11.7,0
7:05,7:05.0,大阪,,D6,34R,7:16.1,0
7:05,7:05.0,奄美大島,,D6,34L,7:16.6,0
7:10,7:10.0,宮崎,,D12,34R,7:19.4,0
7:10,7:10.2,沖縄/那覇,,D82,34L,7:17.6,1
7:10,7:11.2,宮崎,,D82,34L,7:18.6,2
7:15,7:15.0,出雲,,D81,34L,7:22.5,0
7:15,7:15.0,沖縄/那覇,,D12,34R,7:24.4,0
7:20,7:20.0,新潟,,D82,34L,7:27.4,0
7:25,7:25.0,小松,,D81,34R,7:32.1,0
7:25,7:25.0,成田,,D3,34L,7:37.0,0
7:35,7:35.0,東京,,D7,34R,7:45.9,0
7:40,7:40.0,名古屋/中部,,D5,34L,7:51.7,0
7:40,7:40.0,対馬,,D82,34R,7:46.9,0
7:45,7:45.0,福江,,D82,34R,7:51.9,0
7:50,7:50.0,松山,,D81,34L,7:57.5,0
7:55,7:55.0,仙台,,D81,16L,8:1.3,0
7:55,7:57.4,成田,,D1,16R,8:1.5,3
8:00,8:00.0,東京,,D11,16L,8:4.0,0
8:00,8:00.0,沖縄/那覇,,D6,16R,8:3.8,0
8:00,8:00.5,沖縄/那覇,,D4,16R,8:4.8,1
8:05,,ハノイ,,着陸,16L,8:5.1,1
8:10,,バンコク/スワンナプーム,,着陸,16R,8:10.0,0
8:15,,大阪,,着陸,16L,8:15.0,0
8:15,,関西,,着陸,16R,8:15.0,0
8:15,,東京,,着陸,16L,8:16.0,1
8:15,,東京,,着陸,16R,8:16.0,1
8:15,8:15.0,信州松本,,D1,16L,8:18.5,0
8:20,,ハノイ,,着陸,16R,8:20.0,0
8:20,,天草,,着陸,16L,8:20.0,0
8:25,8:25.0,東京,,D8,16L,8:27.9,0
8:30,,宮崎,,着陸,16R,8:30.0,0
8:35,,名古屋/小牧,,着陸,16L,8:35.0,0
8:35,,東京,,着陸,16R,8:35.0,0
8:40,,沖縄/那覇,,着陸,16L,8:40.0,0
8:50,,東京,,着陸,16R,8:50.0,0
8:50,8:50.0,天草,,D81,16L,8:56.3,0
8:55,8:55.0,名古屋/中部,,D5,16R,8:58.6,0
8:55,8:55.0,沖縄/那覇,,D4,16L,8:58.7,0
8:55,8:55.0,仙台,,D11,16R,8:59.6,0
8:55,8:56.3,東京,,D2,16L,8:59.7,2
9:00,,沖縄/那覇,,着陸,16R,9:0.7,1
9:00,,東京,,着陸,16L,9:0.8,1
9:00,,名古屋/中部,,着陸,16R,9:1.7,2
9:00,9:00.0,東京,,D9,16L,9:3.5,0
9:00,9:00.0,大阪,,D11,16R,9:4.6,0
9:00,9:01.4,高知,,D6,16L,9:4.5,2
9:05,,宮崎,,着陸,16L,9:5.6,1
9:05,9:05.0,名古屋/小牧,,D3,16R,9:9.2,1
9:10,9:10.0,東京,,D7,16L,9:13.4,0
9:10,9:10.0,東京,,D12,16R,9:14.9,0
9:10,9:10.0,バンコク/スワンナプーム,,I54,16L,9:16.3,0
9:15,,大阪,,着陸,16R,9:16.0,1
9:15,,成田,,着陸,16R,9:17.0,2
9:15,,宮崎,,着陸,16L,9:17.4,3
9:15,,成田,,着陸,16R,9:18.0,3
9:15,9:15.0,ハノイ,,I57,16L,9:22.1,0
9:20,,東京,,着陸,16R,9:20.0,0
9:20,,静岡,,着陸,16R,9:21.0,1
9:20,,対馬,,着陸,16R,9:22.0,2
9:25,,名古屋/中部,,着陸,16R,9:25.0,0
9:25,9:25.0,沖縄/那覇,,D12,16L,9:29.2,0
9:35,,福江,,着陸,16R,9:35.0,0
9:35,,東京,,着陸,16L,9:35.0,0
9:35,9:35.0,福江,,D82,16L,9:41.4,0
9:40,,仙台,,着陸,16R,9:40.0,0
9:40,9:40.0,東京,,D10,16R,9:44.3,0
9:40,9:40.0,沖縄/那覇,,D6,16L,9:43.1,0
9:50,9:50.0,静岡,,D3,16L,9:53.5,0
9:50,9:50.0,宮崎,,D82,16R,9:57.1,0
9:55,,名古屋/小牧,,着陸,16L,9:55.0,0
9:55,,東京,,着陸,16L,9:56.0,1
9:55,9:55.0,名古屋/中部,,D1,16L,9:58.5,0
10:00,,松山,,着陸,16R,10:0.0,0
10:00,,台北/桃園,,着陸,16L,10:0.0,0
10:00,10:00.0,札幌/新千歳,,D11,16L,10:4.0,0
10:00,10:00.0,成田,,D4,16R,10:4.3,0
10:00,10:02.1,東京,,D8,16L,10:5.0,3
10:00,10:01.6,徳島,,D6,16R,10:5.3,2
10:05,10:05.0,成田,,D5,16L,10:7.9,0
10:05,10:05.0,対馬,,D81,16R,10:11.9,0
10:10,10:10.0,東京,,D9,16L,10:13.5,0
10:10,10:10.0,仙台,,D81,16R,10:16.9,0
10:10,10:10.3,名古屋/中部,,D12,16L,10:14.5,1
10:15,10:15.0,東京,,D2,16L,10:18.4,0
10:30,10:30.0,ハノイ,,I55,16R,10:35.9,0
10:35,10:35.0,宮崎,,D6,16L,10:38.1,0
10:45,,成田,,着陸,16R,10:45.0,0
10:45,,静岡,,着陸,16L,10:45.0,0
10:50,,プサン,,着陸,16L,10:50.0,0
10:50,,東京,,着陸,16R,10:50.0,0
10:55,,小松,,着陸,16L,10:55.0,0
10:55,,成田,,着陸,16R,10:55.0,0
10:55,,名古屋/中部,,着陸,16L,10:56.0,1
10:55,10:55.0,名古屋/小牧,,D1,16R,10:59.1,0
10:55,10:55.0,台北/桃園,,I53,16L,11:1.1,0
11:00,,ソウル/仁川,,着陸,16R,11:0.2,1
11:00,,東京,,着陸,16R,11:1.2,2
11:00,11:00.0,東京,,D7,16L,11:3.4,0
11:05,,ソウル/仁川,,着陸,16R,11:5.0,0
11:05,,大阪,,着陸,16L,11:5.0,0
11:10,,関西,,着陸,16L,11:10.0,0
11:10,,東京,,着陸,16R,11:10.0,0
11:10,11:10.0,東京,,D10,16L,11:13.7,0
11:15,,新潟,,着陸,16R,11:15.0,0
11:15,,東京,,着陸,16L,11:15.0,0
11:15,11:15.0,静岡,,D3,16L,11:18.5,0
11:20,,台北/桃園,,着陸,16R,11:20.0,0
11:25,,沖縄/那覇,,着陸,16L,11:25.0,0
11:25,,高知,,着陸,16R,11:25.0,0
11:25,11:25.0,札幌/新千歳,,D4,16L,11:28.7,0
11:30,,東京,,着陸,16R,11:30.0,0
11:30,,沖縄/那覇,,着陸,16L,11:30.0,0
11:30,,東京,,着陸,16L,11:31.0,1
11:30,11:30.0,小松,,D81,16R,11:36.9,0
11:35,11:35.0,成田,,D1,16L,11:38.5,0
11:40,11:40.0,札幌/新千歳,,D6,16R,11:43.8,0
11:40,11:40.0,いわて花巻,,D5,16L,11:42.9,0
11:40,11:40.0,名古屋/中部,,D11,16L,11:44.0,0
11:45,11:45.0,東京,,D8,16R,11:48.6,0
11:45,11:45.0,プサン,,I54,16L,11:51.3,0
11:50,,宮崎,,着陸,16R,11:50.0,0
11:50,11:50.0,東京,,D11,16R,11:54.6,0
11:55,,名古屋/小牧,,着陸,16L,11:55.0,0
11:55,,茨城,,着陸,16R,11:55.7,1
11:55,11:55.0,沖縄/那覇,,D2,16L,11:58.4,0
11:55,11:55.0,松山,,D6,16R,11:58.8,0
12:00,,札幌/新千歳,,着陸,16L,12:0.0,0
12:00,,大阪,,着陸,16R,12:0.0,0
12:00,,東京,,着陸,16L,12:1.0,1
12:00,12:00.0,大阪,,D82,16R,12:7.1,0
12:00,12:00.0,東京,,D7,16L,12:3.4,0
12:05,12:05.0,沖縄/那覇,,D9,16L,12:8.5,0
12:05,12:05.0,ソウル/仁川,,I55,16R,12:10.9,0
12:10,,出雲,,着陸,16L,12:10.0,0
12:10,,沖縄/那覇,,着陸,16L,12:11.0,1
12:10,,東京,,着陸,16R,12:12.0,2
12:10,12:10.0,東京,,D3,16L,12:13.5,0
