Time,Go,Gate,
7:00,大阪,81,
7:00,東京,10,
7:00,東京,8,
7:00,東京,4,
7:00,東京,2,
7:05,大阪,6,
7:05,奄美大島,6,
7:10,宮崎,12,
7:10,沖縄/那覇,82,
7:10,宮崎,82,
7:15,出雲,81,
7:15,沖縄/那覇,12,
7:20,新潟,82,
7:25,小松,81,
7:25,成田,3,
7:35,東京,7,
7:40,名古屋/中部,5,
7:40,対馬,82,
7:45,福江,82,
7:50,松山,81,
7:55,仙台,81,a
7:55,成田,1,
8:00,東京,11,
8:00,沖縄/那覇,6,
8:00,沖縄/那覇,4,
8:05,ハノイ,,
8:10,バンコク/スワンナプーム,,
8:15,大阪,,
8:15,関西,,
8:15,東京,,
8:15,東京,,
8:15,信州松本,1,
8:20,ハノイ,,
8:20,天草,,
8:25,東京,8,
8:30,宮崎,,
8:35,名古屋/小牧,,
8:35,東京,,
8:40,沖縄/那覇,,
8:50,東京,,
8:50,天草,81,
8:55,名古屋/中部,5,
8:55,沖縄/那覇,4,
8:55,仙台,11,
8:55,東京,2,
9:00,沖縄/那覇,,
9:00,東京,,
9:00,名古屋/中部,,
9:00,東京,9,
9:00,大阪,11,
9:00,高知,6,
9:05,宮崎,,
9:05,名古屋/小牧,3,
9:10,東京,7,
9:10,東京,12,
9:10,バンコク/スワンナプーム,54,
9:15,大阪,,
9:15,成田,,
9:15,宮崎,,
9:15,成田,,
9:15,ハノイ,57,
9:20,東京,,
9:20,静岡,,
9:20,対馬,,
9:25,名古屋/中部,,
9:25,沖縄/那覇,12,
9:35,福江,,
9:35,東京,,
9:35,福江,82,
9:40,仙台,,
9:40,東京,10,
9:40,沖縄/那覇,6,
9:50,静岡,3,
9:50,宮崎,82,
9:55,名古屋/小牧,,
9:55,東京,,
9:55,名古屋/中部,1,
10:00,松山,,
10:00,台北/桃園,,
10:00,札幌/新千歳,11,
10:00,成田,4,
10:00,東京,8,
10:00,徳島,6,
10:05,成田,5,
10:05,対馬,81,
10:10,東京,9,
10:10,仙台,81,
10:10,名古屋/中部,12,
10:15,東京,2,
10:30,ハノイ,55,
10:35,宮崎,6,
10:45,成田,,
10:45,静岡,,
10:50,プサン,,
10:50,東京,,
10:55,小松,,
10:55,成田,,
10:55,名古屋/中部,,
10:55,名古屋/小牧,1,
10:55,台北/桃園,53,
11:00,ソウル/仁川,,
11:00,東京,,
11:00,東京,7,
11:05,ソウル/仁川,,
11:05,大阪,,
11:10,関西,,
11:10,東京,,
11:10,東京,10,
11:15,新潟,,
11:15,東京,,
11:15,静岡,3,
11:20,台北/桃園,,
11:25,沖縄/那覇,,
11:25,高知,,
11:25,札幌/新千歳,4,
11:30,東京,,
11:30,沖縄/那覇,,
11:30,東京,,
11:30,小松,81,
11:35,成田,1,
11:40,札幌/新千歳,6,
11:40,いわて花巻,5,
11:40,名古屋/中部,11,
11:45,東京,8,
11:45,プサン,54,
11:50,宮崎,,
11:50,東京,11,
11:55,名古屋/小牧,,
11:55,茨城,,
11:55,沖縄/那覇,2,
11:55,松山,6,
12:00,札幌/新千歳,,
12:00,大阪,,
12:00,東京,,
12:00,大阪,82,
12:00,東京,7,
12:05,沖縄/那覇,9,
12:05,ソウル/仁川,55,
12:10,出雲,,
12:10,沖縄/那覇,,
12:10,東京,,
12:10,東京,3,
12:15,宮崎,,
12:20,仙台,,
12:20,台北/桃園,53,
12:25,東京,,
12:25,東京,10,
12:25,石垣,1,
12:25,宮崎,82,
12:30,信州松本,5,
12:30,仙台,81,
12:35,札幌/新千歳,12,
12:35,沖縄/那覇,4,
12:40,徳島,,
12:40,ソウル/仁川,56,
12:50,東京,,
12:50,沖縄/那覇,,
12:50,名古屋/中部,81,
12:50,宮崎,11,
12:50,東京,6,
12:55,沖縄/那覇,11,
13:00,東京,8,
13:00,屋久島,81,
13:05,沖縄/那覇,,
13:10,東京,,
13:10,札幌/新千歳,,
13:15,香港,,
13:15,沖縄/那覇,,
13:15,松山,6,
13:20,仙台,,
13:20,東京,9,
13:25,東京,,
13:25,福江,,
13:25,沖縄/那覇,12,
13:35,名古屋/中部,,
13:40,札幌/新千歳,,
13:40,東京,,
13:45,台北/桃園,,
13:50,屋久島,,
13:50,沖縄/那覇,11,
13:50,東京,5,
13:55,東京,,
13:55,対馬,,
13:55,仙台,11,
14:00,松山,,
14:00,関西,2,
14:00,札幌/新千歳,4,
14:05,新潟,,
14:05,東京,,
14:05,プサン,,
14:05,対馬,81,
14:05,東京,7,
14:15,沖縄/那覇,,
14:15,東京,10,
14:15,東京,6,
14:15,香港,53,
14:20,大阪,,
14:25,東京,,
14:25,成田,,
14:25,札幌/新千歳,8,
14:25,小松,82,
14:30,マニラ,,
14:30,東京,,
14:30,宮崎,6,
14:30,鹿児島,81,
14:40,新潟,3,
14:45,名古屋/中部,1,
14:45,東京,1,
14:45,台北/桃園,56,
14:55,マニラ,,
14:55,東京,,
14:55,プサン,54,
15:00,小松,,
15:00,宮崎,,
15:00,沖縄/那覇,,
15:00,沖縄/那覇,11,
15:00,東京,9,
15:00,大阪,11,
15:00,宮崎,82,
15:05,名古屋/中部,,
15:10,東京,,
15:10,成田,4,
15:10,東京,2,
15:15,名古屋/中部,,
15:20,松山,,
15:25,東京,7,
15:30,マニラ,55,
15:35,東京,,
15:35,宮崎,10,
15:40,東京,,
15:45,対馬,,
15:50,東京,,
15:50,大阪,11,
15:50,沖縄/那覇,6,
15:55,沖縄/那覇,,
15:55,対馬,81,
15:55,名古屋/中部,1,
15:55,東京,6,
15:55,マニラ,53,
16:00,信州松本,,
16:00,名古屋/中部,,
16:00,名古屋/中部,5,
16:05,沖縄/那覇,,
16:10,東京,,
16:10,いわて花巻,,
16:10,東京,8,
16:15,成田,,
16:15,大阪,81,
16:20,大阪,,
16:20,沖縄/那覇,,
16:20,東京,9,
16:20,東京,3,
16:25,天草,,
16:30,名古屋/小牧,2,
16:30,仙台,82,
16:35,沖縄/那覇,,
16:40,宮崎,,
16:45,ソウル/仁川,,
16:45,札幌/新千歳,,
16:45,沖縄/那覇,6,
16:45,松山,11,
16:50,東京,,
16:50,鹿児島,,
16:55,仙台,,
16:55,天草,81,
16:55,沖縄/那覇,1,
16:55,東京,7,
17:00,ソウル/仁川,,
17:00,札幌/新千歳,,
17:00,東京,,
17:00,東京,,
17:00,福江,82,
17:00,成田,4,
17:00,沖縄/那覇,1,
17:05,宮崎,,
17:05,東京,10,
17:10,石垣,,
17:15,関西,,
17:15,高知,12,
17:20,沖縄/那覇,5,
17:25,新潟,81,
17:30,東京,8,
17:30,出雲,81,
17:35,対馬,,
17:35,ソウル/仁川,54,
17:40,成田,,
17:40,小松,82,
17:40,東京,3,
17:45,東京,,
17:45,宮崎,,
17:45,大阪,11,
17:50,沖縄/那覇,,
17:50,東京,,
17:50,東京,9,
17:55,東京,,
17:55,小松,,
17:55,沖縄/那覇,1,
18:00,台北/桃園,,a
18:00,名古屋/小松,,
18:00,東京,,
18:00,沖縄/那覇,,
18:00,関西,2,
18:00,東京,6,
18:00,ソウル/仁川,53,
18:05,台北/桃園,,
18:10,静岡,,
18:10,対馬,81,
18:15,名古屋/中部,,
18:20,東京,,
18:20,仙台,,
18:25,大阪,,
18:25,徳島,12,
18:25,宮崎,82,
18:30,仙台,,
18:30,静岡,5,
18:30,名古屋/中部,11,
18:35,東京,10,
18:35,沖縄/那覇,7,
18:35,茨城,3,
18:40,天草,,
18:40,成田,,
18:40,名古屋/小牧,1,
18:40,成田,1,
18:40,成田,4,
18:50,松山,,
18:55,東京,,
18:55,大阪,6,
19:00,福江,,
19:00,成田,,
19:00,東京,,
19:00,仙台,82,
19:00,東京,11,
19:00,台北/桃園,100,
19:05,東京,8,
19:10,信州松本,,
19:10,天草,81,
19:10,大阪,6,
19:10,台北/桃園,100,
19:15,東京,9,
19:20,高雄,,
